Jugador	Url_Bandera	Posicion
Cristiano Ronaldo	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/15px-Flag_of_Portugal.svg.png	1
Iker Casillas	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/15px-Flag_of_Spain.svg.png	2
Xavi Hernández	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/15px-Flag_of_Spain.svg.png	3
Lionel Messi	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/15px-Flag_of_Argentina.svg.png	3
Ryan Giggs	https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Flag_of_Wales.svg/15px-Flag_of_Wales.svg.png	5
Raúl González	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/15px-Flag_of_Spain.svg.png	6
Karim Benzema	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg/15px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg.png	7
Paolo Maldini	https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/15px-Flag_of_Italy.svg.png	8
Thomas Müller	https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/15px-Flag_of_Germany.svg.png	9
Andrés Iniesta	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/15px-Flag_of_Spain.svg.png	10
Gianluigi Buffon	https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/15px-Flag_of_Italy.svg.png	10
Clarence Seedorf	https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/15px-Flag_of_the_Netherlands.svg.png	12
Manuel Neuer	https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/15px-Flag_of_Germany.svg.png	12
Paul Scholes	https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Flag_of_England.svg/15px-Flag_of_England.svg.png	14
Sergio Ramos	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/15px-Flag_of_Spain.svg.png	14
Toni Kroos	https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/15px-Flag_of_Germany.svg.png	14
Roberto Carlos	https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/15px-Flag_of_Brazil.svg.png	17
Zlatan Ibrahimović	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Sweden.svg/15px-Flag_of_Sweden.svg.png	17
Xabi Alonso	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/15px-Flag_of_Spain.svg.png	19
Gerard Piqué	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/15px-Flag_of_Spain.svg.png	19
Sergio Busquets	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/15px-Flag_of_Spain.svg.png	21
Carles Puyol	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/15px-Flag_of_Spain.svg.png	22
Luka Modrić	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/15px-Flag_of_Croatia.svg.png	23
Andriy Shevchenko	https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/15px-Flag_of_Ukraine.svg.png	24
Fernandinho Luiz	https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/15px-Flag_of_Brazil.svg.png	24
Thierry Henry	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg/15px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg.png	26
Gary Neville	https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Flag_of_England.svg/15px-Flag_of_England.svg.png	26
Andrea Pirlo	https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/15px-Flag_of_Italy.svg.png	26
Philipp Lahm	https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/15px-Flag_of_Germany.svg.png	29
Dani Alves	https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/15px-Flag_of_Brazil.svg.png	29
